"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 26, 2019","7,196.29","7,177.58","7,221.02","7,169.37","-","0.26%"
"Mar 25, 2019","7,177.58","7,207.59","7,208.09","7,146.83","604.28M","-0.42%"
"Mar 22, 2019","7,207.59","7,355.31","7,356.37","7,192.76","716.21M","-2.01%"
"Mar 21, 2019","7,355.31","7,291.01","7,370.61","7,290.62","731.35M","0.88%"
"Mar 20, 2019","7,291.01","7,324.00","7,341.57","7,291.01","771.73M","-0.45%"
"Mar 19, 2019","7,324.00","7,299.19","7,350.10","7,294.50","617.24M","0.34%"
"Mar 18, 2019","7,299.19","7,228.28","7,299.19","7,228.19","662.83M","0.98%"
"Mar 15, 2019","7,228.28","7,185.43","7,243.80","7,185.43","1.38B","0.60%"
"Mar 14, 2019","7,185.43","7,159.19","7,215.45","7,148.08","815.71M","0.37%"
"Mar 13, 2019","7,159.19","7,151.15","7,181.85","7,128.71","767.65M","0.11%"
"Mar 12, 2019","7,151.15","7,130.62","7,166.55","7,083.22","775.29M","0.29%"
"Mar 11, 2019","7,130.62","7,104.31","7,181.61","7,104.31","695.14M","0.37%"
"Mar 08, 2019","7,104.31","7,157.55","7,157.55","7,077.93","640.78M","-0.74%"
"Mar 07, 2019","7,157.55","7,196.00","7,196.00","7,126.57","712.68M","-0.53%"
"Mar 06, 2019","7,196.00","7,183.43","7,211.83","7,170.25","816.15M","0.17%"
"Mar 05, 2019","7,183.43","7,134.39","7,191.65","7,127.18","819.86M","0.69%"
"Mar 04, 2019","7,134.39","7,106.73","7,166.19","7,106.73","654.23M","0.39%"
"Mar 01, 2019","7,106.73","7,074.73","7,129.72","7,074.73","722.48M","0.45%"
"Feb 28, 2019","7,074.73","7,107.20","7,107.20","7,041.03","1.01B","-0.46%"
"Feb 27, 2019","7,107.20","7,151.12","7,151.12","7,082.62","897.62M","-0.61%"
"Feb 26, 2019","7,151.12","7,183.74","7,183.79","7,091.59","892.46M","-0.45%"
"Feb 25, 2019","7,183.74","7,178.60","7,210.70","7,158.19","664.87M","0.07%"
"Feb 22, 2019","7,178.60","7,167.39","7,220.52","7,162.37","666.72M","0.16%"
"Feb 21, 2019","7,167.39","7,228.62","7,228.78","7,141.85","822.59M","-0.85%"
"Feb 20, 2019","7,228.62","7,179.17","7,234.16","7,177.95","887.89M","0.69%"
"Feb 19, 2019","7,179.17","7,219.47","7,219.53","7,162.80","643.41M","-0.56%"
"Feb 18, 2019","7,219.47","7,236.68","7,242.09","7,209.70","453.43M","-0.24%"
"Feb 15, 2019","7,236.68","7,197.01","7,261.63","7,185.23","709.70M","0.55%"
"Feb 14, 2019","7,197.01","7,190.84","7,232.83","7,183.01","535.04M","0.09%"
"Feb 13, 2019","7,190.84","7,133.14","7,205.07","7,133.14","578.84M","0.81%"
"Feb 12, 2019","7,133.14","7,129.11","7,168.61","7,121.72","542.97M","0.06%"
